沙巴克首次攻城时间_年		2015
押镖_补给危机_押金_45		1200000
押镖_补给危机_押金_50		2000000
押镖_补给危机_押金_55		5000000
押镖_补给危机_押金_60		10000000

押镖_补给危机_押金_35_补	250000
押镖_补给危机_押金_40_补	400000
押镖_补给危机_押金_45_补	600000
押镖_补给危机_押金_50_补	1000000
押镖_补给危机_押金_55_补	2500000
押镖_补给危机_押金_60_补	5000000

押镖_补给危机_经验_35		5000000
押镖_补给危机_经验_40		10000000
押镖_补给危机_经验_45		15000000
押镖_补给危机_经验_50		20000000
押镖_补给危机_经验_55		25000000
押镖_补给危机_经验_60		30000000

押镖_补给危机_金币_35		1000000
押镖_补给危机_金币_40		1500000
押镖_补给危机_金币_45		2000000
押镖_补给危机_金币_50		2500000
押镖_补给危机_金币_55		5000000
押镖_补给危机_金币_60		10000000

押镖_补给危机_声望_35		10
押镖_补给危机_声望_40		20
押镖_补给危机_声望_45		30
押镖_补给危机_声望_50		40
押镖_补给危机_声望_55		50
押镖_补给危机_声望_60		60


物品_改变属性_凹槽数量_0		0
物品_改变属性_凹槽数量_1		1
物品_改变属性_凹槽数量_2		2
物品_改变属性_凹槽数量_3		3

物品_改变属性_可强化等级_0级		0
物品_改变属性_可强化等级_1级		3
物品_改变属性_可强化等级_2级		6
物品_改变属性_可强化等级_3级		9
物品_改变属性_可强化等级_4级		12
物品_改变属性_可强化等级_5级		15
物品_改变属性_可强化等级_6级		18

物品_改变属性_强化等级属性_1级		0
物品_改变属性_强化等级属性_2级		1
物品_改变属性_强化等级属性_3级		2
物品_改变属性_强化等级属性_4级		3
物品_改变属性_强化等级属性_5级		4
物品_改变属性_强化等级属性_6级		5

物品_改变属性_附加属性_最高防御		0
物品_改变属性_附加属性_最高魔御 	1
物品_改变属性_附加属性_最高攻击		2
物品_改变属性_附加属性_最高魔法		3
物品_改变属性_附加属性_最高道术		4
物品_改变属性_附加属性_最低防御		5
物品_改变属性_附加属性_最低魔御		6
物品_改变属性_附加属性_最低攻击		7
物品_改变属性_附加属性_最低魔法		8
物品_改变属性_附加属性_最低道术		9
物品_改变属性_附加属性_生命值		10
物品_改变属性_附加属性_魔法值		11
物品_改变属性_附加属性_准确		12
物品_改变属性_附加属性_敏捷		13
物品_改变属性_附加属性_武器强度		14
物品_改变属性_附加属性_魔法躲避		15
物品_改变属性_附加属性_毒物躲避		16
物品_改变属性_附加属性_体力恢复		17
物品_改变属性_附加属性_魔法恢复		18
物品_改变属性_附加属性_毒物恢复		19
物品_改变属性_附加属性_幸运		20
物品_改变属性_附加属性_诅咒		21
物品_改变属性_附加属性_伤害加成		22
物品_改变属性_附加属性_伤害吸收		23
物品_改变属性_附加属性_致命一击		26

;参数三
物品_改变属性_强化等级属性_1级_生命值加10		0
物品_改变属性_强化等级属性_1级_生命值加20		1
物品_改变属性_强化等级属性_1级_魔法值加10		2
物品_改变属性_强化等级属性_1级_魔法值加20		3
物品_改变属性_强化等级属性_1级_体力恢复加10		4
物品_改变属性_强化等级属性_1级_魔法恢复加10		5
物品_改变属性_强化等级属性_1级_毒物恢复加10		6

物品_改变属性_强化等级属性_2级_准确增加1点		0
物品_改变属性_强化等级属性_2级_敏捷增加1点		1

物品_改变属性_强化等级属性_3级_最高防御增加2		0
物品_改变属性_强化等级属性_3级_最高防御增加3		1
物品_改变属性_强化等级属性_3级_最高防御增加4		2
物品_改变属性_强化等级属性_3级_最高防御增加5		3
物品_改变属性_强化等级属性_3级_最高魔御增加2		4
物品_改变属性_强化等级属性_3级_最高魔御增加3		5
物品_改变属性_强化等级属性_3级_最高魔御增加4		6
物品_改变属性_强化等级属性_3级_最高魔御增加5		7
物品_改变属性_强化等级属性_3级_最高攻击增加2		8
物品_改变属性_强化等级属性_3级_最高攻击增加3		9
物品_改变属性_强化等级属性_3级_最高攻击增加4		10
物品_改变属性_强化等级属性_3级_最高攻击增加5		11
物品_改变属性_强化等级属性_3级_最高道术增加2		12
物品_改变属性_强化等级属性_3级_最高道术增加3		13
物品_改变属性_强化等级属性_3级_最高道术增加4		14
物品_改变属性_强化等级属性_3级_最高道术增加5		15
物品_改变属性_强化等级属性_3级_最高魔法增加2		16
物品_改变属性_强化等级属性_3级_最高魔法增加3		17
物品_改变属性_强化等级属性_3级_最高魔法增加4		18
物品_改变属性_强化等级属性_3级_最高魔法增加5		19

物品_改变属性_强化等级属性_4级_魔法躲避加10		0
物品_改变属性_强化等级属性_4级_毒物躲避加10		1
物品_改变属性_强化等级属性_4级_伤害加成加1		2
物品_改变属性_强化等级属性_4级_伤害加成加2		3
物品_改变属性_强化等级属性_4级_伤害加成加3		4
物品_改变属性_强化等级属性_4级_伤害吸收加1		5
物品_改变属性_强化等级属性_4级_伤害吸收加2		6
物品_改变属性_强化等级属性_4级_伤害吸收加3		7

物品_改变属性_强化等级属性_5级_致命一击加1		0
物品_改变属性_强化等级属性_5级_致命一击加2		1
物品_改变属性_强化等级属性_5级_致命一击加3		2

物品_改变属性_强化等级属性_6级_掉落机率减少40		0
物品_改变属性_强化等级属性_6级_掉落机率减少50		1
物品_改变属性_强化等级属性_6级_掉落机率减少60		2
物品_改变属性_强化等级属性_6级_掉落机率减少70		3
物品_改变属性_强化等级属性_6级_掉落机率减少80		4
物品_改变属性_强化等级属性_6级_掉落机率减少90		5


怪物刷新提示_正常		{正常=FCO=250}
怪物刷新提示_死亡		{死亡=FCO=247}

任务_循环任务_押镖任务变量		10
